Ability Technology Limited;PEARCE;;"+610299079736
(00) 00000000";www.ability.org.au;info@ability.org.au;6 Hodgson Place, PEARCE, ACT, 2607
Alzheimer's Australia ACT Incorporated;KALEEN;Assist-Life Stage, Transition;610262550722;;act.intake@alzheimers.org.au;Main Building, 159 Maribyrnong Avenue, KALEEN, ACT, 2617
;;Behaviour Support;610262550722;;act.intake@alzheimers.org.au;Main Building, 159 Maribyrnong Avenue, KALEEN, ACT, 2617
;;Development-Life Skills;610262550722;;act.intake@alzheimers.org.au;Main Building, 159 Maribyrnong Avenue, KALEEN, ACT, 2617
;;Participate Community;610262550722;;act.intake@alzheimers.org.au;Main Building, 159 Maribyrnong Avenue, KALEEN, ACT, 2617
;;Training-Travel Independence;610262550722;;act.intake@alzheimers.org.au;Main Building, 159 Maribyrnong Avenue, KALEEN, ACT, 2617
Alzheimer's Australia Inc;SCULLIN;Assist-Life Stage, Transition;;www.fightdementia.org.au;nat.accounts@alzheimers.org.au;1 Frewin Place, SCULLIN, ACT, 2614
Anglicare NSW South NSW West and ACT;HOLT, CANBERRA;Assist Access/Maintain Employ;;;;3/80 Beaurepaire Crescent, HOLT, CANBERRA, ACT, 2615
;;Assist-Integrate School/Ed;;;;3/80 Beaurepaire Crescent, HOLT, CANBERRA, ACT, 2615
;;Assist-Life Stage, Transition;;;;3/80 Beaurepaire Crescent, HOLT, CANBERRA, ACT, 2615
;;Assist-Personal Activities;;;;3/80 Beaurepaire Crescent, HOLT, CANBERRA, ACT, 2615
;;Assist-Travel/Transport;;;;3/80 Beaurepaire Crescent, HOLT, CANBERRA, ACT, 2615
;;Behaviour Support;;;;3/80 Beaurepaire Crescent, HOLT, CANBERRA, ACT, 2615
;;Daily Tasks/Shared Living;;;;3/80 Beaurepaire Crescent, HOLT, CANBERRA, ACT, 2615
;;Development-Life Skills;;;;3/80 Beaurepaire Crescent, HOLT, CANBERRA, ACT, 2615
;;Household Tasks;;;;3/80 Beaurepaire Crescent, HOLT, CANBERRA, ACT, 2615
;;Participate Community;;;;3/80 Beaurepaire Crescent, HOLT, CANBERRA, ACT, 2615
;;Training-Travel Independence;;;;3/80 Beaurepaire Crescent, HOLT, CANBERRA, ACT, 2615
Archicentre Limited;SOUTH BRISBANE;;611300657836;www.archicentre.com.au;contact@archicentre.com.au;70 Merivale St, SOUTH BRISBANE, QLD, 4101
ArKi Link Australia Pty Ltd;PHILLIP;;"+610431697877
0000 00 0000";;admin@aklabs.com.au;6/70 Port Jackson Circuit,, PHILLIP, ACT, 2606
As One Therapy Pty Limited;PHILLIP;Assess-Skill, Ability, Needs;610413201078;www.asonetherapy.com.au;info@asonetherapy.com.au;Level 4, 20 Bradley Street, PHILLIP, ACT, 2606
;;Behaviour Support;610413201078;www.asonetherapy.com.au;info@asonetherapy.com.au;Level 4, 20 Bradley Street, PHILLIP, ACT, 2606
;;Early Childhood Supports;610413201078;www.asonetherapy.com.au;info@asonetherapy.com.au;Level 4, 20 Bradley Street, PHILLIP, ACT, 2606
;;Equipment Special Assess Setup;610413201078;www.asonetherapy.com.au;info@asonetherapy.com.au;Level 4, 20 Bradley Street, PHILLIP, ACT, 2606
;;Therapeutic Supports;610413201078;www.asonetherapy.com.au;info@asonetherapy.com.au;Level 4, 20 Bradley Street, PHILLIP, ACT, 2606
Aspire Early Intervention Pty Ltd;WENTWORTH POINT;Assess-Skill, Ability, Needs;"+610297399798
(00) 0000 0000";www.aspireearlyintervention.com;info@aspireearlyintervention.com;Suite 107, 3 The Crescent, WENTWORTH POINT, NSW, 2127
;;Early Childhood Supports;+610297399798(00) 0000 0000;www.aspireearlyintervention.com;info@aspireearlyintervention.com;Suite 107, 3 The Crescent, WENTWORTH POINT, NSW, 2127
Australian Red Cross Society;GARRAN;Assist Prod-Pers Care/Safety;"+610262347663
(00) 00000000";;socialinclusionact@redcross.org.au;Level 1 Red Cross House, 3 Dann Close, GARRAN, ACT, 2605
;;Assistive Prod-Household Task;+610262347663(00) 00000000;;socialinclusionact@redcross.org.au;Level 1 Red Cross House, 3 Dann Close, GARRAN, ACT, 2605
;;Household Tasks;+610262347663(00) 00000000;;socialinclusionact@redcross.org.au;Level 1 Red Cross House, 3 Dann Close, GARRAN, ACT, 2605
;;Participate Community;+610262347663(00) 00000000;;socialinclusionact@redcross.org.au;Level 1 Red Cross House, 3 Dann Close, GARRAN, ACT, 2605
Autism Asperger Act Incorporated;CHIFLEY;;;;;ADDRESS CONFIDENTIAL
Autism Spectrum Australia (Aspect);COOK;Assess-Skill, Ability, Needs;610262517955;;;Cook Community Hub, 41 Templeton Street, COOK, ACT, 2614
;;Assist Access/Maintain Employ;610262517955;;;Cook Community Hub, 41 Templeton Street, COOK, ACT, 2614
;;Assist-Integrate School/Ed;610262517955;;;Cook Community Hub, 41 Templeton Street, COOK, ACT, 2614
;;Assist-Life Stage, Transition;610262517955;;;Cook Community Hub, 41 Templeton Street, COOK, ACT, 2614
;;Assist-Personal Activities;610262517955;;;Cook Community Hub, 41 Templeton Street, COOK, ACT, 2614
;;Behaviour Support;610262517955;;;Cook Community Hub, 41 Templeton Street, COOK, ACT, 2614
;;Comms & Info Equipment;610262517955;;;Cook Community Hub, 41 Templeton Street, COOK, ACT, 2614
;;Development-Life Skills;610262517955;;;Cook Community Hub, 41 Templeton Street, COOK, ACT, 2614
;;Early Childhood Supports;610262517955;;;Cook Community Hub, 41 Templeton Street, COOK, ACT, 2614
;;Other Innovative Supports;610262517955;;;Cook Community Hub, 41 Templeton Street, COOK, ACT, 2614
;;Plan Management;610262517955;;;Cook Community Hub, 41 Templeton Street, COOK, ACT, 2614
;;Therapeutic Supports;610262517955;;;Cook Community Hub, 41 Templeton Street, COOK, ACT, 2614
Barnardos Australia;DOWNER;Accommodation/Tenancy;;;;ADDRESS CONFIDENTIAL
;;Assist-Integrate School/Ed;;;;ADDRESS CONFIDENTIAL
;;Assist-Life Stage, Transition;;;;ADDRESS CONFIDENTIAL
;;Assist-Travel/Transport;;;;ADDRESS CONFIDENTIAL
;;Development-Life Skills;;;;ADDRESS CONFIDENTIAL
;;Participate Community;;;;ADDRESS CONFIDENTIAL
Belconnen Community Service Inc;BELCONNEN;Assist-Integrate School/Ed;;;;26 Chandler Street, BELCONNEN, ACT, 2617
;;Assist-Life Stage, Transition;;;;26 Chandler Street, BELCONNEN, ACT, 2617
;;Assist-Personal Activities;;;;26 Chandler Street, BELCONNEN, ACT, 2617
;;Assist-Travel/Transport;;;;26 Chandler Street, BELCONNEN, ACT, 2617
;;Development-Life Skills;;;;26 Chandler Street, BELCONNEN, ACT, 2617
;;Household Tasks;;;;26 Chandler Street, BELCONNEN, ACT, 2617
;;Participate Community;;;;26 Chandler Street, BELCONNEN, ACT, 2617
;;Physical Wellbeing;;;;26 Chandler Street, BELCONNEN, ACT, 2617
;;Therapeutic Supports;;;;26 Chandler Street, BELCONNEN, ACT, 2617
;;Training-Travel Independence;;;;26 Chandler Street, BELCONNEN, ACT, 2617
Bellairs, Ryan;CHAPMAN;Assess-Skill, Ability, Needs;610403232409;www.aaaot.com.au;ryan@aaaot.com.au;68 Darwinia Terrace, CHAPMAN, ACT, 2611
;;Behaviour Support;610403232409;www.aaaot.com.au;ryan@aaaot.com.au;68 Darwinia Terrace, CHAPMAN, ACT, 2611
;;Early Childhood Supports;610403232409;www.aaaot.com.au;ryan@aaaot.com.au;68 Darwinia Terrace, CHAPMAN, ACT, 2611
;;Equipment Special Assess Setup;610403232409;www.aaaot.com.au;ryan@aaaot.com.au;68 Darwinia Terrace, CHAPMAN, ACT, 2611
;;Therapeutic Supports;610403232409;www.aaaot.com.au;ryan@aaaot.com.au;68 Darwinia Terrace, CHAPMAN, ACT, 2611
Bennell, Gail Amanda;EAST DEVONPORT;Assess-Skill, Ability, Needs;;;;132 Caroline St, EAST DEVONPORT, TAS, 7310
;;Early Childhood Supports;;;;132 Caroline St, EAST DEVONPORT, TAS, 7310
;;Equipment Special Assess Setup;;;;132 Caroline St, EAST DEVONPORT, TAS, 7310
;;Therapeutic Supports;;;;132 Caroline St, EAST DEVONPORT, TAS, 7310
C F Harvey & M Mazzucco;WRIGHT;Physical Wellbeing;;;;ADDRESS CONFIDENTIAL
Canberra Blind Society (Inc) - Canberra;CANBERRA;;;;;Room G06, Griffin Centre, Genge Street, CANBERRA, ACT, 2601
Canberra Men's Centre Incorporated;CANBERRA CITY;;610262306999;www.menscentre.org.au;cmc@menscentre.org.au;Level 3 Griffin Centre, 20 Genge Street, CANBERRA CITY, ACT, 2601
Capital Community Housing Incorporated;HOLDER;Accommodation/Tenancy;;;;Level 2B, 27 Mulley Street, HOLDER, ACT, 2611
;;Daily Tasks/Shared Living;;;;Level 2B, 27 Mulley Street, HOLDER, ACT, 2611
Capital Therapy Services Pty Ltd;PHILLIP;Early Childhood Supports;"+610261546940
(00) 0000 0000";www.capitaltherapyservices.com.au;info@capitaltherapyservices.com.au;Unit 10, 21 Colbee Court, PHILLIP, ACT, 2606
;;Therapeutic Supports;+610261546940(00) 0000 0000;www.capitaltherapyservices.com.au;info@capitaltherapyservices.com.au;Unit 10, 21 Colbee Court, PHILLIP, ACT, 2606
Care Companions (ACT) Pty. Ltd.;WANNIASSA;;610262961213;www.carecompanions.con.au;thu@carecompanions.com.au;13 Cuthbert Circuit, WANNIASSA, ACT, 2903
Care Plus Services Pty Ltd;CALWELL;Assist Access/Maintain Employ;"+610262393830
00 00000000";;admin@careplusservices.com;37/36 Fink Cresent, CALWELL, ACT, 2905
;;Assist-Integrate School/Ed;+6102623938300 0 00000000;;admin@careplusservices.com;37/36 Fink Cresent, CALWELL, ACT, 2905
;;Assist-Life Stage, Transition;+6102623938300 0 00000000;;admin@careplusservices.com;37/36 Fink Cresent, CALWELL, ACT, 2905
;;Assist-Personal Activities;+6102623938300 0 00000000;;admin@careplusservices.com;37/36 Fink Cresent, CALWELL, ACT, 2905
;;Assist-Travel/Transport;+6102623938300 0 00000000;;admin@careplusservices.com;37/36 Fink Cresent, CALWELL, ACT, 2905
;;Daily Tasks/Shared Living;+6102623938300 0 00000000;;admin@careplusservices.com;37/36 Fink Cresent, CALWELL, ACT, 2905
;;Development-Life Skills;+6102623938300 0 00000000;;admin@careplusservices.com;37/36 Fink Cresent, CALWELL, ACT, 2905
;;Household Tasks;+6102623938300 0 00000000;;admin@careplusservices.com;37/36 Fink Cresent, CALWELL, ACT, 2905
;;Participate Community;+6102623938300 0 00000000;;admin@careplusservices.com;37/36 Fink Cresent, CALWELL, ACT, 2905
;;Plan Management;+6102623938300 0 00000000;;admin@careplusservices.com;37/36 Fink Cresent, CALWELL, ACT, 2905
;;Training-Travel Independence;+6102623938300 0 00000000;;admin@careplusservices.com;37/36 Fink Cresent, CALWELL, ACT, 2905
Care4all Pty Ltd;YASS;;610262265016;www.care4all.com.au;care4all@live.com.au;122 Yass Valley Way, YASS, NSW, 2582
Carers ACT Ltd;HOLT;Assist Access/Maintain Employ;610262969900;;;Unit 2, 80 Beaurepaire Crescent, HOLT, ACT, 2615
;;Assist-Life Stage, Transition;610262969900;;;Unit 2, 80 Beaurepaire Crescent, HOLT, ACT, 2615
;;Behaviour Support;610262969900;;;Unit 2, 80 Beaurepaire Crescent, HOLT, ACT, 2615
;;Daily Tasks/Shared Living;610262969900;;;Unit 2, 80 Beaurepaire Crescent, HOLT, ACT, 2615
;;Development-Life Skills;610262969900;;;Unit 2, 80 Beaurepaire Crescent, HOLT, ACT, 2615
;;Participate Community;610262969900;;;Unit 2, 80 Beaurepaire Crescent, HOLT, ACT, 2615
;;Plan Management;610262969900;;;Unit 2, 80 Beaurepaire Crescent, HOLT, ACT, 2615
;;Training-Travel Independence;610262969900;;;Unit 2, 80 Beaurepaire Crescent, HOLT, ACT, 2615
Caring Approach Pty Ltd;CHERRYBROOK;;611300655026;www.caringapproach.net;admin@caringapproach.net;2/17 Roslyn Place, CHERRYBROOK, NSW, 2126
Carmel Curlewis and Associates Pty Ltd;SCULLIN;Assess-Skill, Ability, Needs;"+610427592730
0000 000 000";http://www.advantagenutrition.com.au/;carmel@advantagenutrition.com.au;5 Ross Smith Crescent, SCULLIN, ACT, 2614
;;Physical Wellbeing;+6104275927300 000 000 000;http://www.advantagenutrition.com.au/;carmel@advantagenutrition.com.au;5 Ross Smith Crescent, SCULLIN, ACT, 2614
Cerebral Palsy Alliance;SCULLIN;Assess-Skill, Ability, Needs;610261990600;www.cerebralpalsy.org.au;info@cerebralpalsy.org.au;5 Ross Smith Crescent, SCULLIN, ACT, 2614
;;Assist-Integrate School/Ed;610261990600;www.cerebralpalsy.org.au;info@cerebralpalsy.org.au;5 Ross Smith Crescent, SCULLIN, ACT, 2614
;;Assist-Life Stage, Transition;610261990600;www.cerebralpalsy.org.au;info@cerebralpalsy.org.au;5 Ross Smith Crescent, SCULLIN, ACT, 2614
;;Assist-Personal Activities;610261990600;www.cerebralpalsy.org.au;info@cerebralpalsy.org.au;5 Ross Smith Crescent, SCULLIN, ACT, 2614
;;Behaviour Support;610261990600;www.cerebralpalsy.org.au;info@cerebralpalsy.org.au;5 Ross Smith Crescent, SCULLIN, ACT, 2614
;;Comms & Info Equipment;610261990600;www.cerebralpalsy.org.au;info@cerebralpalsy.org.au;5 Ross Smith Crescent, SCULLIN, ACT, 2614
;;Daily Tasks/Shared Living;610261990600;www.cerebralpalsy.org.au;info@cerebralpalsy.org.au;5 Ross Smith Crescent, SCULLIN, ACT, 2614
;;Development-Life Skills;610261990600;www.cerebralpalsy.org.au;info@cerebralpalsy.org.au;5 Ross Smith Crescent, SCULLIN, ACT, 2614
;;Early Childhood Supports;610261990600;www.cerebralpalsy.org.au;info@cerebralpalsy.org.au;5 Ross Smith Crescent, SCULLIN, ACT, 2614
;;Equipment Special Assess Setup;610261990600;www.cerebralpalsy.org.au;info@cerebralpalsy.org.au;5 Ross Smith Crescent, SCULLIN, ACT, 2614
;;Participate Community;610261990600;www.cerebralpalsy.org.au;info@cerebralpalsy.org.au;5 Ross Smith Crescent, SCULLIN, ACT, 2614
;;Personal Mobility Equipment;610261990600;www.cerebralpalsy.org.au;info@cerebralpalsy.org.au;5 Ross Smith Crescent, SCULLIN, ACT, 2614
;;Physical Wellbeing;610261990600;www.cerebralpalsy.org.au;info@cerebralpalsy.org.au;5 Ross Smith Crescent, SCULLIN, ACT, 2614
;;Therapeutic Supports;610261990600;www.cerebralpalsy.org.au;info@cerebralpalsy.org.au;5 Ross Smith Crescent, SCULLIN, ACT, 2614
Chua, Aimee Joy;CRACE;;610400419353;www.bespokespeech.com;bespokespeech@gmail.com;33 Benalla Street, CRACE, ACT, 2911
Circles of Life Disability Support Solutions Pty. Ltd.;KARABAR;;610448358537;www.circlesoflifedisabilitysupportsolutions.com;info@circlesoflifedisabilitysupportsolutions.com;36 Anne Street, KARABAR, ACT, 2620
Clarke, Daniela;NICHOLLS;Assess-Skill, Ability, Needs;;;;1 Tubman Place, NICHOLLS, ACT, 2913
;;Behaviour Support;;;;1 Tubman Place, NICHOLLS, ACT, 2913
;;Early Childhood Supports;;;;1 Tubman Place, NICHOLLS, ACT, 2913
;;Equipment Special Assess Setup;;;;1 Tubman Place, NICHOLLS, ACT, 2913
;;Therapeutic Supports;;;;1 Tubman Place, NICHOLLS, ACT, 2913
Communicate Speech Pathology Pty Ltd;HACKETT;Early Childhood Supports;610293283444;www.communicatespeech.com.au;info@communicatespeech.com.au;CONFIDENTIAL, HACKETT, ACT, 2602
;;Therapeutic Supports;610293283444;www.communicatespeech.com.au;info@communicatespeech.com.au;CONFIDENTIAL, HACKETT, ACT, 2602
Communities@Work Ltd;GREENWAY;Accommodation/Tenancy;610262936500;;;245 Cowlishaw St, GREENWAY, ACT, 2900
;;Assist-Integrate School/Ed;610262936500;;;245 Cowlishaw St, GREENWAY, ACT, 2900
;;Assist-Life Stage, Transition;610262936500;;;245 Cowlishaw St, GREENWAY, ACT, 2900
;;Assist-Personal Activities;610262936500;;;245 Cowlishaw St, GREENWAY, ACT, 2900
;;Assist-Travel/Transport;610262936500;;;245 Cowlishaw St, GREENWAY, ACT, 2900
;;Development-Life Skills;610262936500;;;245 Cowlishaw St, GREENWAY, ACT, 2900
;;Household Tasks;610262936500;;;245 Cowlishaw St, GREENWAY, ACT, 2900
;;Participate Community;610262936500;;;245 Cowlishaw St, GREENWAY, ACT, 2900
;;Training-Travel Independence;610262936500;;;245 Cowlishaw St, GREENWAY, ACT, 2900
Community Connections Incorporated;KAMBAH;Accommodation/Tenancy;610262961133;www.comcons.org.au;admin@comcons.org.au;Kambah Professional Centre, Unit 6/21 Jenke Circuit, KAMBAH, ACT, 2902
;;Assist Access/Maintain Employ;610262961133;www.comcons.org.au;admin@comcons.org.au;Kambah Professional Centre, Unit 6/21 Jenke Circuit, KAMBAH, ACT, 2902
;;Assist-Life Stage, Transition;610262961133;www.comcons.org.au;admin@comcons.org.au;Kambah Professional Centre, Unit 6/21 Jenke Circuit, KAMBAH, ACT, 2902
;;Development-Life Skills;610262961133;www.comcons.org.au;admin@comcons.org.au;Kambah Professional Centre, Unit 6/21 Jenke Circuit, KAMBAH, ACT, 2902
;;Plan Management;610262961133;www.comcons.org.au;admin@comcons.org.au;Kambah Professional Centre, Unit 6/21 Jenke Circuit, KAMBAH, ACT, 2902
Community Options Incorporated;PHILLIP;Accommodation/Tenancy;610262958800;www.communityoptions.com.au;admin@communityoptions.com.au;Block E CIT Woden Campus, 160 Ainsworth Street, PHILLIP, ACT, 2606
;;Assess-Skill, Ability, Needs;610262958800;www.communityoptions.com.au;admin@communityoptions.com.au;Block E CIT Woden Campus, 160 Ainsworth Street, PHILLIP, ACT, 2606
;;Assist Access/Maintain Employ;610262958800;www.communityoptions.com.au;admin@communityoptions.com.au;Block E CIT Woden Campus, 160 Ainsworth Street, PHILLIP, ACT, 2606
;;Assist-Integrate School/Ed;610262958800;www.communityoptions.com.au;admin@communityoptions.com.au;Block E CIT Woden Campus, 160 Ainsworth Street, PHILLIP, ACT, 2606
;;Assist-Life Stage, Transition;610262958800;www.communityoptions.com.au;admin@communityoptions.com.au;Block E CIT Woden Campus, 160 Ainsworth Street, PHILLIP, ACT, 2606
;;Assist-Personal Activities;610262958800;www.communityoptions.com.au;admin@communityoptions.com.au;Block E CIT Woden Campus, 160 Ainsworth Street, PHILLIP, ACT, 2606
;;Assist-Travel/Transport;610262958800;www.communityoptions.com.au;admin@communityoptions.com.au;Block E CIT Woden Campus, 160 Ainsworth Street, PHILLIP, ACT, 2606
;;Behaviour Support;610262958800;www.communityoptions.com.au;admin@communityoptions.com.au;Block E CIT Woden Campus, 160 Ainsworth Street, PHILLIP, ACT, 2606
;;Development-Life Skills;610262958800;www.communityoptions.com.au;admin@communityoptions.com.au;Block E CIT Woden Campus, 160 Ainsworth Street, PHILLIP, ACT, 2606
;;Early Childhood Supports;610262958800;www.communityoptions.com.au;admin@communityoptions.com.au;Block E CIT Woden Campus, 160 Ainsworth Street, PHILLIP, ACT, 2606
;;Equipment Special Assess Setup;610262958800;www.communityoptions.com.au;admin@communityoptions.com.au;Block E CIT Woden Campus, 160 Ainsworth Street, PHILLIP, ACT, 2606
;;Home Modification;610262958800;www.communityoptions.com.au;admin@communityoptions.com.au;Block E CIT Woden Campus, 160 Ainsworth Street, PHILLIP, ACT, 2606
;;Household Tasks;610262958800;www.communityoptions.com.au;admin@communityoptions.com.au;Block E CIT Woden Campus, 160 Ainsworth Street, PHILLIP, ACT, 2606
;;Participate Community;610262958800;www.communityoptions.com.au;admin@communityoptions.com.au;Block E CIT Woden Campus, 160 Ainsworth Street, PHILLIP, ACT, 2606
;;Physical Wellbeing;610262958800;www.communityoptions.com.au;admin@communityoptions.com.au;Block E CIT Woden Campus, 160 Ainsworth Street, PHILLIP, ACT, 2606
;;Plan Management;610262958800;www.communityoptions.com.au;admin@communityoptions.com.au;Block E CIT Woden Campus, 160 Ainsworth Street, PHILLIP, ACT, 2606
;;Training-Travel Independence;610262958800;www.communityoptions.com.au;admin@communityoptions.com.au;Block E CIT Woden Campus, 160 Ainsworth Street, PHILLIP, ACT, 2606
Community Programs Association Inc;CANBERRA CITY;Assist Access/Maintain Employ;610262577088;www.lead.asn.au;info@lead.asn.au;Level 5 8 HOBART PL, CANBERRA CITY, ACT, 2601
;;Assist-Integrate School/Ed;610262577088;www.lead.asn.au;info@lead.asn.au;Level 5 8 HOBART PL, CANBERRA CITY, ACT, 2601
;;Assist-Life Stage, Transition;610262577088;www.lead.asn.au;info@lead.asn.au;Level 5 8 HOBART PL, CANBERRA CITY, ACT, 2601
;;Development-Life Skills;610262577088;www.lead.asn.au;info@lead.asn.au;Level 5 8 HOBART PL, CANBERRA CITY, ACT, 2601
Community Services Directorate;CANBERRA CITY;;610262075111;www.communityservices.act.gov.au;csd@act.gov.au;Level 8, 11 Moore Street, 11 Moore St, CANBERRA CITY, ACT, 2601
;;;;www.communityservices.act.gov.au/ocyfs;csd@act.gov.au;Level 8, 11 Moore Street, 11 Moore Street, CANBERRA CITY, ACT, 2601
;;Accommodation/Tenancy;610262075111;http://www.communityservices.act.gov.au/hcs;csd@act.gov.au;Level 8, 11 Moore Street, 11 Moore Street, CANBERRA CITY, ACT, 2601
;;Assess-Skill, Ability, Needs;"+610262075111
(00) 0000 0000";www.communityservices.act.gov.au;csd@act.gov.au;Level 8, 11 Moore Street, 11 Moore Street, CANBERRA CITY, ACT, 2601
;;Assist-Personal Activities;"+610262071086
(00) 0000 0000";www.communityservices.act.gov.au;csd@act.gov.au;Level 8, 11 Moore Street, 11 Moore Street, CANBERRA CITY, ACT, 2601
;;Assist-Travel/Transport;+610262071086(00) 0000 0000;www.communityservices.act.gov.au;csd@act.gov.au;Level 8, 11 Moore Street, 11 Moore Street, CANBERRA CITY, ACT, 2601
;;Behaviour Support;"+610262075111
(00) 0000 0000";www.communityservices.act.gov.au;csd@act.gov.au;Level 8, 11 Moore Street, 11 Moore Street, CANBERRA CITY, ACT, 2601
;;Daily Tasks/Shared Living;"+610262071086
(00) 0000 0000";www.communityservices.act.gov.au;csd@act.gov.au;Level 8, 11 Moore Street, 11 Moore Street, CANBERRA CITY, ACT, 2601
;;Early Childhood Supports;"+610262075111
(00) 0000 0000";www.communityservices.act.gov.au;csd@act.gov.au;Level 8, 11 Moore Street, 11 Moore Street, CANBERRA CITY, ACT, 2601
;;Equipment Special Assess Setup;+610262075111(00) 0000 0000;www.communityservices.act.gov.au;csd@act.gov.au;Level 8, 11 Moore Street, 11 Moore Street, CANBERRA CITY, ACT, 2601
;;Therapeutic Supports;610262075111;http://www.communityservices.act.gov.au/hcs;csd@act.gov.au;Level 8, 11 Moore Street, 11 Moore Street, CANBERRA CITY, ACT, 2601
;;;"+610262075111
(00) 0000 0000";www.communityservices.act.gov.au;csd@act.gov.au;Level 8, 11 Moore Street, 11 Moore Street, CANBERRA CITY, ACT, 2601
Connor, Pamela;BELCONNEN;;610417452365;www.pamconnor.com;pam.connor@bigpond.com;Unit 5 A, 55 Lathlain Street, BELCONNEN, ACT, 2616
Cooper,Toni;CHARNWOOD;;610422061978;;tonicooper109@gmail.com;10 Warland Place, CHARNWOOD, ACT, 2615
D.R Jordan & T.N Le & M.K Tsui;LYNEHAM;;610262477004;www.capitalchemist.com.au;lyneham@capitalchemist.com.au;Lyneham Capital Chemist, Wattle Street, LYNEHAM, ACT, 2602
Darryl's Den Inc.;HOLT;Development-Life Skills;610261562358;www.darrylsden.org;darrylsden@optusnet.com.au;Holt Community Hub, 80 beaurepaire crs, HOLT, ACT, 2615
;;Participate Community;610261562358;www.darrylsden.org;darrylsden@optusnet.com.au;Holt Community Hub, 80 beaurepaire crs, HOLT, ACT, 2615
;;Physical Wellbeing;610261562358;www.darrylsden.org;darrylsden@optusnet.com.au;Holt Community Hub, 80 beaurepaire crs, HOLT, ACT, 2615
De Kantzow, Sophie Louise;WARAMANGA;Assess-Skill, Ability, Needs;610408081114;;sophie.dekantzow@westnet.com.au;1 Burara Cres, WARAMANGA, ACT, 2611
;;Early Childhood Supports;610408081114;;sophie.dekantzow@westnet.com.au;1 Burara Cres, WARAMANGA, ACT, 2611
;;Equipment Special Assess Setup;610408081114;;sophie.dekantzow@westnet.com.au;1 Burara Cres, WARAMANGA, ACT, 2611
;;Therapeutic Supports;610408081114;;sophie.dekantzow@westnet.com.au;1 Burara Cres, WARAMANGA, ACT, 2611
Disability Services Australia Limited;CONDELL PARK;Assist-Travel/Transport;;;;76 Harley Cresent, CONDELL PARK, NSW, 2200
