A.D. Bynon & J.E. Bynon;SORELL;Assess-Skill, Ability, Needs;610362659281;www.growoccupationaltherapy.com.au;admin@growoccupationaltherapy.com.au;Sorell Allied Health Centre, 42 Cole St, SORELL, TAS, 7172
;;Assistive Equip-Recreation;610364323448;www.atginc.org.au;admin@abilityemployment.com.au;Shop 2, 29 Wilmot St, BURNIE, TAS, 7320
;;Assist-Life Stage, Transition;610364323448;www.atginc.org.au;admin@abilityemployment.com.au;Shop 2, 29 Wilmot St, BURNIE, TAS, 7320
;;Assist-Personal Activities;610364323448;www.atginc.org.au;admin@abilityemployment.com.au;Shop 2, 29 Wilmot St, BURNIE, TAS, 7320
;;Assist-Travel/Transport;610364323448;www.atginc.org.au;admin@abilityemployment.com.au;Shop 2, 29 Wilmot St, BURNIE, TAS, 7320
;;Development-Life Skills;610364323448;www.atginc.org.au;admin@abilityemployment.com.au;Shop 2, 29 Wilmot St, BURNIE, TAS, 7320
;;Participate Community;610364323448;www.atginc.org.au;admin@abilityemployment.com.au;Shop 2, 29 Wilmot St, BURNIE, TAS, 7320
;;Training-Travel Independence;610364323448;www.atginc.org.au;admin@abilityemployment.com.au;Shop 2, 29 Wilmot St, BURNIE, TAS, 7320
Able Australia Services;MOONAH;Accommodation/Tenancy;;;john.klug@ableaustralia.org.au;137 Main Road Moonah, MOONAH, TAS, 7009
;;Assist-Integrate School/Ed;;;john.klug@ableaustralia.org.au;137 Main Road Moonah, MOONAH, TAS, 7009
;;Assist-Life Stage, Transition;;;john.klug@ableaustralia.org.au;137 Main Road Moonah, MOONAH, TAS, 7009
;;Assist-Personal Activities;;;john.klug@ableaustralia.org.au;137 Main Road Moonah, MOONAH, TAS, 7009
;;Assist-Travel/Transport;;;john.klug@ableaustralia.org.au;137 Main Road Moonah, MOONAH, TAS, 7009
;;Daily Tasks/Shared Living;;;john.klug@ableaustralia.org.au;137 Main Road Moonah, MOONAH, TAS, 7009
;;Development-Life Skills;;;john.klug@ableaustralia.org.au;137 Main Road Moonah, MOONAH, TAS, 7009
;;Other Innovative Supports;;;john.klug@ableaustralia.org.au;137 Main Road Moonah, MOONAH, TAS, 7009
;;Participate Community;;;john.klug@ableaustralia.org.au;137 Main Road Moonah, MOONAH, TAS, 7009
;;Training-Travel Independence;;;john.klug@ableaustralia.org.au;137 Main Road Moonah, MOONAH, TAS, 7009
Access Innovation Media Pty Ltd;MACQUARIE PARK;;610288707711;;;12 Waterloo Road, MACQUARIE PARK, NSW, 2113
Advanced Lifecare Pty Ltd;SOUTH LAUNCESTON;Assist Prod-Pers Care/Safety;;;sales@advancedlifecare.com.au;355 Wellington Street, SOUTH LAUNCESTON, TAS, 7249
;;Assistive Prod-Household Task;;;sales@advancedlifecare.com.au;355 Wellington Street, SOUTH LAUNCESTON, TAS, 7249
;;Other Innovative Supports;;;sales@advancedlifecare.com.au;355 Wellington Street, SOUTH LAUNCESTON, TAS, 7249
;;Personal Mobility Equipment;;;sales@advancedlifecare.com.au;355 Wellington Street, SOUTH LAUNCESTON, TAS, 7249
Aidacare Pty Ltd;KINGSTON;;;;kevin.holliday@aidacare.com.au;18 Mertonvale Circuit, KINGSTON, TAS, 7050
AL & LM Williams;SOUTH LAUNCESTON;Assist-Personal Activities;;;launceston@seniorhelpers.com.au;220 Wellington Street, SOUTH LAUNCESTON, TAS, 7249
;;Household Tasks;;;launceston@seniorhelpers.com.au;220 Wellington Street, SOUTH LAUNCESTON, TAS, 7249
Alison Hopwood Family Trust;BATTERY POINT;Assess-Skill, Ability, Needs;;;ahopwood@ikot.com.au;Ground Floor, 2 Castray Esplanade, BATTERY POINT, TAS, 7000
;;Assistive Equip-Recreation;;;ahopwood@ikot.com.au;Ground Floor, 2 Castray Esplanade, BATTERY POINT, TAS, 7000
;;Behaviour Support;;;ahopwood@ikot.com.au;Ground Floor, 2 Castray Esplanade, BATTERY POINT, TAS, 7000
;;Early Childhood Supports;;;ahopwood@ikot.com.au;Ground Floor, 2 Castray Esplanade, BATTERY POINT, TAS, 7000
;;Equipment Special Assess Setup;;;ahopwood@ikot.com.au;Ground Floor, 2 Castray Esplanade, BATTERY POINT, TAS, 7000
;;Therapeutic Supports;;;ahopwood@ikot.com.au;Ground Floor, 2 Castray Esplanade, BATTERY POINT, TAS, 7000
Anglicare Tasmania Inc.;HOBART;Accommodation/Tenancy;"+611800466300
(00)00000000";;NDISenquiries@anglicare-tas.org.au;18 Watchorn St, HOBART, TAS, 7000
;;Assess-Skill, Ability, Needs;+611800466300  (00)00000000;;NDISenquiries@anglicare-tas.org.au;18 Watchorn St, HOBART, TAS, 7000
;;Assist Access/Maintain Employ;+611800466300  (00)00000000;;NDISenquiries@anglicare-tas.org.au;18 Watchorn St, HOBART, TAS, 7000
;;Assist-Integrate School/Ed;+611800466300  (00)00000000;;NDISenquiries@anglicare-tas.org.au;18 Watchorn St, HOBART, TAS, 7000
;;Assist-Life Stage, Transition;+611800466300  (00)00000000;;NDISenquiries@anglicare-tas.org.au;18 Watchorn St, HOBART, TAS, 7000
;;Assist-Personal Activities;+611800466300  (00)00000000;;NDISenquiries@anglicare-tas.org.au;18 Watchorn St, HOBART, TAS, 7000
;;Assist-Travel/Transport;+611800466300  (00)00000000;;NDISenquiries@anglicare-tas.org.au;18 Watchorn St, HOBART, TAS, 7000
;;Behaviour Support;+611800466300  (00)00000000;;NDISenquiries@anglicare-tas.org.au;18 Watchorn St, HOBART, TAS, 7000
;;Daily Tasks/Shared Living;+611800466300  (00)00000000;;NDISenquiries@anglicare-tas.org.au;18 Watchorn St, HOBART, TAS, 7000
;;Development-Life Skills;+611800466300  (00)00000000;;NDISenquiries@anglicare-tas.org.au;18 Watchorn St, HOBART, TAS, 7000
;;Household Tasks;+611800466300  (00)00000000;;NDISenquiries@anglicare-tas.org.au;18 Watchorn St, HOBART, TAS, 7000
;;Other Innovative Supports;+611800466300  (00)00000000;;NDISenquiries@anglicare-tas.org.au;18 Watchorn St, HOBART, TAS, 7000
;;Participate Community;+611800466300  (00)00000000;;NDISenquiries@anglicare-tas.org.au;18 Watchorn St, HOBART, TAS, 7000
;;Plan Management;+611800466300  (00)00000000;;NDISenquiries@anglicare-tas.org.au;18 Watchorn St, HOBART, TAS, 7000
;;Therapeutic Supports;+611800466300  (00)00000000;;NDISenquiries@anglicare-tas.org.au;18 Watchorn St, HOBART, TAS, 7000
;;Training-Travel Independence;+611800466300  (00)00000000;;NDISenquiries@anglicare-tas.org.au;18 Watchorn St, HOBART, TAS, 7000
ARC Support Services Ltd;LAUNCESTON;Assist-Integrate School/Ed;+610363457398 00-0000-0000;www.arcss.com.au;emmaallen@arcss.com.au;Unit 2, 6-13 George Street, LAUNCESTON, TAS, 7250
;;Assist-Life Stage, Transition;+6103634573980 0-0000-0000;www.arcss.com.au;emmaallen@arcss.com.au;Unit 2, 6-13 George Street, LAUNCESTON, TAS, 7250
;;Assist-Personal Activities;+6103634573980 0-0000-0000;www.arcss.com.au;emmaallen@arcss.com.au;Unit 2, 6-13 George Street, LAUNCESTON, TAS, 7250
;;Assist-Travel/Transport;+6103634573980 0-0000-0000;www.arcss.com.au;emmaallen@arcss.com.au;Unit 2, 6-13 George Street, LAUNCESTON, TAS, 7250
;;Behaviour Support;+6103634573980 0-0000-0000;www.arcss.com.au;emmaallen@arcss.com.au;Unit 2, 6-13 George Street, LAUNCESTON, TAS, 7250
;;Daily Tasks/Shared Living;+6103634573980 0-0000-0000;www.arcss.com.au;emmaallen@arcss.com.au;Unit 2, 6-13 George Street, LAUNCESTON, TAS, 7250
;;Household Tasks;+6103634573980 0-0000-0000;www.arcss.com.au;emmaallen@arcss.com.au;Unit 2, 6-13 George Street, LAUNCESTON, TAS, 7250
;;Participate Community;+6103634573980 0-0000-0000;www.arcss.com.au;emmaallen@arcss.com.au;Unit 2, 6-13 George Street, LAUNCESTON, TAS, 7250
Archer, Alison Jane;LINDISFARNE;;610362438715;http://www.lindisfarnepsychology.com.au/Ali;ali.morse6@gmail.com;44A Lincoln Street, LINDISFARNE, TAS, 7015
Artas Architects Pty Ltd;LAUNCESTON;;"+610363312731
(00) 00000000";http://artas.com.au/;simone@artas.com.au;Level 1, The ARTAS Centre, 10-14 Paterson Street, LAUNCESTON, TAS, 7250
Australian Dispatch Company Pty Ltd;MOONAH;;;;admin@131008hobart.com;23 Sunderland Street, MOONAH, TAS, 7009
Award Swimming Pty Ltd;KINGSTON;;;;;10 Mertonvale Circuit, KINGSTON, TAS, 7050
Baptcare Ltd;HOBART;Assist-Life Stage, Transition;;;info@baptcare.org.au;175 Collins Street, HOBART, TAS, 7000
;;Assist-Personal Activities;;;info@baptcare.org.au;175 Collins Street, HOBART, TAS, 7000
;;Daily Tasks/Shared Living;;;info@baptcare.org.au;175 Collins Street, HOBART, TAS, 7000
;;Development-Life Skills;;;info@baptcare.org.au;175 Collins Street, HOBART, TAS, 7000
;;Participate Community;;;info@baptcare.org.au;175 Collins Street, HOBART, TAS, 7000
;;Plan Management;;;info@baptcare.org.au;175 Collins Street, HOBART, TAS, 7000
;;Training-Travel Independence;;;info@baptcare.org.au;175 Collins Street, HOBART, TAS, 7000
Baxter, Richard M;FERN TREE;Assist-Life Stage, Transition;610419803544;www.baxterconsultancy.com.au;rick@baxterconsultancy.com.au;78 Summerleas Road, FERN TREE, TAS, 7054
;;Plan Management;610419803544;www.baxterconsultancy.com.au;rick@baxterconsultancy.com.au;78 Summerleas Road, FERN TREE, TAS, 7054
Bennell, Gail Amanda;EAST DEVONPORT;Assess-Skill, Ability, Needs;610401699701;www.raisingnonverbalchildren.com;gail@raisingnonverbalchildren.com;132 Caroline St, EAST DEVONPORT, TAS, 7310
;;Comms & Info Equipment;610401699701;www.raisingnonverbalchildren.com;gail@raisingnonverbalchildren.com;132 Caroline St, EAST DEVONPORT, TAS, 7310
;;Early Childhood Supports;610401699701;www.raisingnonverbalchildren.com;gail@raisingnonverbalchildren.com;132 Caroline St, EAST DEVONPORT, TAS, 7310
;;Equipment Special Assess Setup;610401699701;www.raisingnonverbalchildren.com;gail@raisingnonverbalchildren.com;132 Caroline St, EAST DEVONPORT, TAS, 7310
;;Therapeutic Supports;610401699701;www.raisingnonverbalchildren.com;gail@raisingnonverbalchildren.com;132 Caroline St, EAST DEVONPORT, TAS, 7310
BHG Pty. Ltd.;MOONAH;;;;;66 Charles Street, MOONAH, TAS, 7009
BlueLine Laundry Incorporated;NEW TOWN;Accommodation/Tenancy;;;info@blueline-laundry.com;59 CREEK RD, NEW TOWN, TAS, 7008
;;Assist Access/Maintain Employ;;;info@blueline-laundry.com;59 CREEK RD, NEW TOWN, TAS, 7008
;;Assist-Travel/Transport;;;info@blueline-laundry.com;59 CREEK RD, NEW TOWN, TAS, 7008
;;Development-Life Skills;;;info@blueline-laundry.com;59 CREEK RD, NEW TOWN, TAS, 7008
;;Participate Community;;;info@blueline-laundry.com;59 CREEK RD, NEW TOWN, TAS, 7008
C Blanch & C Watson;GEILSTON BAY;Assess-Skill, Ability, Needs;;;watson.blanch@gmail.com;42 Sunhaven Avenue, GEILSTON BAY, TAS, 7015
;;Community Nursing Care;;;watson.blanch@gmail.com;42 Sunhaven Avenue, GEILSTON BAY, TAS, 7015
C.R Horsman & S.D Horsman;WEST LAUNCESTON;Plan Management;;;samh@pjsfinancial.com.au;39 Basin Road, WEST LAUNCESTON, TAS, 7250
Canty, Leiemma Alison;LAUNCESTON;Assess-Skill, Ability, Needs;"+6161478613593
00 0000 00000";;leiemmacanty.ot@gmail.com;1 Elphin Road, LAUNCESTON, TAS, 7250
;;Early Childhood Supports;+61614786135930 0 0000 00000;;leiemmacanty.ot@gmail.com;1 Elphin Road, LAUNCESTON, TAS, 7250
;;Therapeutic Supports;+61614786135930 0 0000 00000;;leiemmacanty.ot@gmail.com;1 Elphin Road, LAUNCESTON, TAS, 7250
Care Assessment Consultants Pty. Ltd.;ROSNY PARK;;611300364876;www.careassess.com.au;info@careassess.com.au;Level 2, 6 Bayfield Street, ROSNY PARK, TAS, 7018
Carer Solutions Australia Pty Ltd - Tasmania;DERWENT PARK;Plan Management;"+611300729839
0000 000 000";;fi@carersolutions.com.au;231 Main Road, DERWENT PARK, TAS, 7009
Circular Head Aboriginal Corp;SMITHTON;Accommodation/Tenancy;;;d.baldock@chac.com.au;10 King St, Smithton, TAS, 7330
;;Assist-Life Stage, Transition;;;d.baldock@chac.com.au;10 King St, Smithton, TAS, 7330
;;Assist-Personal Activities;;;d.baldock@chac.com.au;10 King St, Smithton, TAS, 7330
;;Development-Life Skills;;;d.baldock@chac.com.au;10 King St, Smithton, TAS, 7330
Clifford Hallam Healthcare Pty Limited;DERWENT PARK;Assist Prod-Pers Care/Safety;;;carmen.riley@ch2.net.au;13 Lampton Avenue, DERWENT PARK, TAS, 7009
Clive Skilbeck;HOBART;Assess-Skill, Ability, Needs;;;clive@neuropsychtas.com.au;22 Gregory Street, Sandy Bay, HOBART, TAS, 7005
;;Behaviour Support;;;clive@neuropsychtas.com.au;22 Gregory Street, Sandy Bay, HOBART, TAS, 7005
;;Therapeutic Supports;;;clive@neuropsychtas.com.au;22 Gregory Street, Sandy Bay, HOBART, TAS, 7005
Coastal Physiotherapy Pty Ltd;BURNIE;Therapeutic Supports;;;swillis@southcom.com.au;3 King St, BURNIE, TAS, 7320
Coastal Residential Service Inc.;BURNIE;Assist Access/Maintain Employ;"+610364311454
(00)00000000";www.coastalresidentialservice.com.au;admin@coastalresidentialservice.com.au;8 Devon Street, BURNIE, TAS, 7320
;;Assistive Equip-Recreation;+610364311454  (00)00000000;www.coastalresidentialservice.com.au;admin@coastalresidentialservice.com.au;8 Devon Street, BURNIE, TAS, 7320
;;Assist-Life Stage, Transition;+610364311454  (00)00000000;www.coastalresidentialservice.com.au;admin@coastalresidentialservice.com.au;8 Devon Street, BURNIE, TAS, 7320
;;Assist-Personal Activities;+610364311454  (00)00000000;www.coastalresidentialservice.com.au;admin@coastalresidentialservice.com.au;8 Devon Street, BURNIE, TAS, 7320
;;Assist-Travel/Transport;+610364311454  (00)00000000;www.coastalresidentialservice.com.au;admin@coastalresidentialservice.com.au;8 Devon Street, BURNIE, TAS, 7320
;;Daily Tasks/Shared Living;+610364311454  (00)00000000;www.coastalresidentialservice.com.au;admin@coastalresidentialservice.com.au;8 Devon Street, BURNIE, TAS, 7320
;;Development-Life Skills;+610364311454  (00)00000000;www.coastalresidentialservice.com.au;admin@coastalresidentialservice.com.au;8 Devon Street, BURNIE, TAS, 7320
;;Participate Community;+610364311454  (00)00000000;www.coastalresidentialservice.com.au;admin@coastalresidentialservice.com.au;8 Devon Street, BURNIE, TAS, 7320
;;Training-Travel Independence;+610364311454  (00)00000000;www.coastalresidentialservice.com.au;admin@coastalresidentialservice.com.au;8 Devon Street, BURNIE, TAS, 7320
Colony 47 Inc;NORTH HOBART;Assist Access/Maintain Employ;610362141341;;sarahm@colony47.com.au;ADDRESS CONFIDENTIAL
Community Based Support Inc;MOONAH;Assist-Life Stage, Transition;"+610362086600
(00) 00000000";www.cbsaust.org.au;admin@cbsaust.org.au;24 Sunderland St, MOONAH, TAS, 7009
;;Assist-Personal Activities;+610362086600(00) 00000000;www.cbsaust.org.au;admin@cbsaust.org.au;24 Sunderland St, MOONAH, TAS, 7009
;;Assist-Travel/Transport;+610362086600(00) 00000000;www.cbsaust.org.au;admin@cbsaust.org.au;24 Sunderland St, MOONAH, TAS, 7009
;;Development-Life Skills;+610362086600(00) 00000000;www.cbsaust.org.au;admin@cbsaust.org.au;24 Sunderland St, MOONAH, TAS, 7009
;;Home Modification;+610362086600(00) 00000000;www.cbsaust.org.au;admin@cbsaust.org.au;24 Sunderland St, MOONAH, TAS, 7009
;;Household Tasks;+610362086600(00) 00000000;www.cbsaust.org.au;admin@cbsaust.org.au;24 Sunderland St, MOONAH, TAS, 7009
;;Other Innovative Supports;+610362086600(00) 00000000;www.cbsaust.org.au;admin@cbsaust.org.au;24 Sunderland St, MOONAH, TAS, 7009
;;Participate Community;+610362086600(00) 00000000;www.cbsaust.org.au;admin@cbsaust.org.au;24 Sunderland St, MOONAH, TAS, 7009
Community Mediation Service - Tasmania (Inc);HOBART;;;;manager@positivesolutions.com.au;162 Macquarie St, HOBART, TAS, 7000
Con & Gail & Peter Bakker;NORWOOD;Assist-Travel/Transport;610363434907;hobartmaxitaxi.com.au;conbakker@bigpond.com;22 Montifiore Street, NORWOOD, TAS, 7250
Condon, Sharon Kathleen;BURNIE;Assist-Integrate School/Ed;610414488947;;geminitiger26@gmail.com;122 View Road, BURNIE, TAS, 7320
;;Assist-Life Stage, Transition;610414488947;;geminitiger26@gmail.com;122 View Road, BURNIE, TAS, 7320
;;Participate Community;610414488947;;geminitiger26@gmail.com;122 View Road, BURNIE, TAS, 7320
Connect and Relate for Autism Inc;BLACKMANS BAY;Assess-Skill, Ability, Needs;;www.rdiconnect.com;rdi@asdconnect.com.au;20 Aldinga Street, BLACKMANS BAY, TAS, 7052
;;Assist-Integrate School/Ed;;www.rdiconnect.com;rdi@asdconnect.com.au;20 Aldinga Street, BLACKMANS BAY, TAS, 7052
;;Early Childhood Supports;;www.rdiconnect.com;rdi@asdconnect.com.au;20 Aldinga Street, BLACKMANS BAY, TAS, 7052
;;Other Innovative Supports;;www.rdiconnect.com;rdi@asdconnect.com.au;20 Aldinga Street, BLACKMANS BAY, TAS, 7052
;;Therapeutic Supports;;www.rdiconnect.com;rdi@asdconnect.com.au;20 Aldinga Street, BLACKMANS BAY, TAS, 7052
COSMOS Inc;NEW TOWN;Assist Access/Maintain Employ;;;catherine.viney@cosmos.org.au;52 New Town Rd, NEW TOWN, TAS, 7008
;;Assist-Life Stage, Transition;;;catherine.viney@cosmos.org.au;52 New Town Rd, NEW TOWN, TAS, 7008
;;Assist-Personal Activities;;;catherine.viney@cosmos.org.au;52 New Town Rd, NEW TOWN, TAS, 7008
;;Daily Tasks/Shared Living;;;catherine.viney@cosmos.org.au;52 New Town Rd, NEW TOWN, TAS, 7008
;;Development-Life Skills;;;catherine.viney@cosmos.org.au;52 New Town Rd, NEW TOWN, TAS, 7008
;;Participate Community;;;catherine.viney@cosmos.org.au;52 New Town Rd, NEW TOWN, TAS, 7008
;;Training-Travel Independence;;;catherine.viney@cosmos.org.au;52 New Town Rd, NEW TOWN, TAS, 7008
D.J Radley & J.R Radley;NEW TOWN;Therapeutic Supports;"+610362285535
(00) 00000000";www.theepicentre.net.au;admin@theepicentre.net.au;The Old Parsonage, 160 New Town Road, NEW TOWN, TAS, 7008
Department of Health and Human Services;HOBART;Assess-Skill, Ability, Needs;;https://www.dhhs.tas.gov.au/;;Level 3, 99 Bathurst Street, Hobart, TAS, 7000
;;Behaviour Support;;https://www.dhhs.tas.gov.au/;;Level 3, 99 Bathurst Street, Hobart, TAS, 7000
;;Equipment Special Assess Setup;;https://www.dhhs.tas.gov.au/;;Level 3, 99 Bathurst Street, Hobart, TAS, 7000
;;Personal Mobility Equipment;;https://www.dhhs.tas.gov.au/;;Level 3, 99 Bathurst Street, Hobart, TAS, 7000
;;Therapeutic Supports;;https://www.dhhs.tas.gov.au/;;Level 3, 99 Bathurst Street, Hobart, TAS, 7000
Devonfield Enterprises Inc.;DEVONPORT;Assess-Skill, Ability, Needs;;;sdaley@devonfield.com.au;133 MIDDLE RD, DEVONPORT, TAS, 7310
;;Assist Access/Maintain Employ;;;sdaley@devonfield.com.au;133 MIDDLE RD, DEVONPORT, TAS, 7310
;;Assistive Equip-Recreation;;;sdaley@devonfield.com.au;133 MIDDLE RD, DEVONPORT, TAS, 7310
;;Assist-Personal Activities;;;sdaley@devonfield.com.au;133 MIDDLE RD, DEVONPORT, TAS, 7310
;;Daily Tasks/Shared Living;;;sdaley@devonfield.com.au;133 MIDDLE RD, DEVONPORT, TAS, 7310
;;Development-Life Skills;;;sdaley@devonfield.com.au;133 MIDDLE RD, DEVONPORT, TAS, 7310
;;Equipment Special Assess Setup;;;sdaley@devonfield.com.au;133 MIDDLE RD, DEVONPORT, TAS, 7310
;;Household Tasks;;;sdaley@devonfield.com.au;133 MIDDLE RD, DEVONPORT, TAS, 7310
;;Participate Community;;;sdaley@devonfield.com.au;133 MIDDLE RD, DEVONPORT, TAS, 7310
;;Training-Travel Independence;;;sdaley@devonfield.com.au;133 MIDDLE RD, DEVONPORT, TAS, 7310
Diane Reynoldson;NEW TOWN;;;;;28 Bishop St, NEW TOWN, TAS, 7008
Dineen, Kate Megan;NEWSTEAD;Assess-Skill, Ability, Needs;610414836508;;dineenspeechpathology@gmail.com;21 Kenyon Street, NEWSTEAD, TAS, 7250
;;Equipment Special Assess Setup;610414836508;;dineenspeechpathology@gmail.com;21 Kenyon Street, NEWSTEAD, TAS, 7250
;;Therapeutic Supports;610414836508;;dineenspeechpathology@gmail.com;21 Kenyon Street, NEWSTEAD, TAS, 7250
Dr Ian Wilson Pty Ltd;GLEBE, HOBART;;610407627470;;ianwilson76@hotmail.com;8 Davenport Street, GLEBE, HOBART, TAS, 7000
Dr Janine Elizabeth Martin;SANDY BAY;Assess-Skill, Ability, Needs;;;janine@neuropsychtas.com.au;22 Gregory St, SANDY BAY, TAS, 7005
;;Behaviour Support;;;janine@neuropsychtas.com.au;22 Gregory St, SANDY BAY, TAS, 7005
;;Therapeutic Supports;;;janine@neuropsychtas.com.au;22 Gregory St, SANDY BAY, TAS, 7005
Dunn, Caroline Joy;BURNIE;;;;;133 Mount Street, BURNIE, TAS, 7320
Dyer, Arwen Tiffany;LAUDERDALE;Other Innovative Supports;610419249867;;arwendyer@icloud.com;ADDRESS CONFIDENTIAL
;;Therapeutic Supports;610419249867;;arwendyer@icloud.com;ADDRESS CONFIDENTIAL
E De Zordi and M Jamu;FRANKSTON SOUTH;;611300243934;www.EliteRespiteCare.com.au;info@eliterespitecare.com.au;ADDRESS CONFIDENTIAL
Eckhardt Crawford Pty. Ltd.;HOBART;Therapeutic Supports;610362313939;;hobartonmurray@backinmotion.com.au;221 Murray Street, HOBART, TAS, 7000
Endeavour Foundation;CANNON HILL;;611800363328;http://www.endeavour.com.au/;centralintake@endeavour.com.au;1/50 Southgate Ave, CANNON HILL, QLD, 4170
Epic Employment Service Incorporated;WINDSOR;Plan Management;610738575085;www.epicassist.org;epic@epic.org.au;230 Lutwyche Rd, WINDSOR, QLD, 4030
Ernst, Beverley;LAUNCESTON;;;;bevernst@bigpond.com;218 Charles St, LAUNCESTON, TAS, 7250
Eskleigh Foundation Incorporated;PERTH;Assist-Personal Activities;;;dluttrell@eskleigh.com.au;16087 Midlands Highway, PERTH, TAS, 7300
;;Assist-Travel/Transport;;;dluttrell@eskleigh.com.au;16087 Midlands Highway, PERTH, TAS, 7300
;;Daily Tasks/Shared Living;;;dluttrell@eskleigh.com.au;16087 Midlands Highway, PERTH, TAS, 7300
;;Development-Life Skills;;;dluttrell@eskleigh.com.au;16087 Midlands Highway, PERTH, TAS, 7300
;;Participate Community;;;dluttrell@eskleigh.com.au;16087 Midlands Highway, PERTH, TAS, 7300
;;Training-Travel Independence;;;dluttrell@eskleigh.com.au;16087 Midlands Highway, PERTH, TAS, 7300
Family Based Care Association (Northern Region) Inc;LAUNCESTON;Assess-Skill, Ability, Needs;;;accounts@fbcnorth.org.au;22 Earl Street, LAUNCESTON, TAS, 7250
;;Assist-Life Stage, Transition;;;accounts@fbcnorth.org.au;22 Earl Street, LAUNCESTON, TAS, 7250
;;Assist-Personal Activities;;;accounts@fbcnorth.org.au;22 Earl Street, LAUNCESTON, TAS, 7250
;;Assist-Travel/Transport;;;accounts@fbcnorth.org.au;22 Earl Street, LAUNCESTON, TAS, 7250
;;Development-Life Skills;;;accounts@fbcnorth.org.au;22 Earl Street, LAUNCESTON, TAS, 7250
;;Household Tasks;;;accounts@fbcnorth.org.au;22 Earl Street, LAUNCESTON, TAS, 7250
;;Participate Community;;;accounts@fbcnorth.org.au;22 Earl Street, LAUNCESTON, TAS, 7250
Family Based Care Association North West Inc;BURNIE;Assess-Skill, Ability, Needs;;;ddoherty@familybasedcare.org.au;75 Mount Street, BURNIE, TAS, 7320
;;Assist-Integrate School/Ed;;;ddoherty@familybasedcare.org.au;75 Mount Street, BURNIE, TAS, 7320
;;Assist-Life Stage, Transition;;;ddoherty@familybasedcare.org.au;75 Mount Street, BURNIE, TAS, 7320
;;Assist-Personal Activities;;;ddoherty@familybasedcare.org.au;75 Mount Street, BURNIE, TAS, 7320
;;Assist-Travel/Transport;;;ddoherty@familybasedcare.org.au;75 Mount Street, BURNIE, TAS, 7320
;;Development-Life Skills;;;ddoherty@familybasedcare.org.au;75 Mount Street, BURNIE, TAS, 7320
;;Household Tasks;;;ddoherty@familybasedcare.org.au;75 Mount Street, BURNIE, TAS, 7320
;;Participate Community;;;ddoherty@familybasedcare.org.au;75 Mount Street, BURNIE, TAS, 7320
;;Training-Travel Independence;;;ddoherty@familybasedcare.org.au;75 Mount Street, BURNIE, TAS, 7320
Farquhar, Lorna Nicole;NEWSTEAD;Assess-Skill, Ability, Needs;"+610402040073
0000 000 000";;contact@otrehabservices.com.au;Confidential, NEWSTEAD, TAS, 7250
;;Therapeutic Supports;+6104020400730 000 000 000;;contact@otrehabservices.com.au;Confidential, NEWSTEAD, TAS, 7250
GC SERVICES INCORPORATED;LATROBE;Assist-Personal Activities;;;gleeclub@internode.on.net;89a Glibert Street, LATROBE, TAS, 7307
;;Assist-Travel/Transport;;;gleeclub@internode.on.net;89a Glibert Street, LATROBE, TAS, 7307
