;;Assess-Skill, Ability, Needs;610458617958;;dougherty.venus@yahoo.com;103 Brown Street, ALI CURUNG, NT, 0872
;;Assist Access/Maintain Employ;610458617958;;dougherty.venus@yahoo.com;103 Brown Street, ALI CURUNG, NT, 0872
;;Assist-Integrate School/Ed;610458617958;;dougherty.venus@yahoo.com;103 Brown Street, ALI CURUNG, NT, 0872
;;Assist-Personal Activities;610458617958;;dougherty.venus@yahoo.com;103 Brown Street, ALI CURUNG, NT, 0872
;;Community Nursing Care;610458617958;;dougherty.venus@yahoo.com;103 Brown Street, ALI CURUNG, NT, 0872
;;Development-Life Skills;610458617958;;dougherty.venus@yahoo.com;103 Brown Street, ALI CURUNG, NT, 0872
;;Household Tasks;610458617958;;dougherty.venus@yahoo.com;103 Brown Street, ALI CURUNG, NT, 0872
;;Participate Community;610458617958;;dougherty.venus@yahoo.com;103 Brown Street, ALI CURUNG, NT, 0872
Epic Employment Service Incorporated;WINDSOR;Plan Management;610738575085;www.epicassist.org;epic@epic.org.au;230 Lutwyche Rd, WINDSOR, QLD, 4030
Guide Dogs Association of SA & NT Inc;ADELAIDE;;610882038333;www.guidedogs.org.au;info@guidedogs.org.au;Building, 251 Morphett Street, ADELAIDE, SA, 5000
Hallatt, Shannon May;WINNELLIE;Assess-Skill, Ability, Needs;"+6108893628852
00 000000000";www.otforkidsnt.com.au;info@otforkidsnt.com.au;5/71 Coonawarra Rd, WINNELLIE, NT, 0820
;;Behaviour Support;+61088936288520 0 000000000;www.otforkidsnt.com.au;info@otforkidsnt.com.au;5/71 Coonawarra Rd, WINNELLIE, NT, 0820
;;Comms & Info Equipment;+61088936288520 0 000000000;www.otforkidsnt.com.au;info@otforkidsnt.com.au;5/71 Coonawarra Rd, WINNELLIE, NT, 0820
;;Development-Life Skills;+61088936288520 0 000000000;www.otforkidsnt.com.au;info@otforkidsnt.com.au;5/71 Coonawarra Rd, WINNELLIE, NT, 0820
;;Early Childhood Supports;+61088936288520 0 000000000;www.otforkidsnt.com.au;info@otforkidsnt.com.au;5/71 Coonawarra Rd, WINNELLIE, NT, 0820
;;Equipment Special Assess Setup;+61088936288520 0 000000000;www.otforkidsnt.com.au;info@otforkidsnt.com.au;5/71 Coonawarra Rd, WINNELLIE, NT, 0820
;;Therapeutic Supports;+61088936288520 0 000000000;www.otforkidsnt.com.au;info@otforkidsnt.com.au;5/71 Coonawarra Rd, WINNELLIE, NT, 0820
Industry Education Networking Pty Ltd;WINNELLIE;Daily Tasks/Shared Living;;;;ADDRESS CONFIDENTIAL
IndyTech Pty Ltd;HADFIELD;;;;;ADDRESS CONFIDENTIAL
Julalikari Council Aboriginal Corp;TENNANT CREEK;Accommodation/Tenancy;610889622699;;kate.walsh@julalikari.com.au;13 Maloney Street, TENNANT CREEK, NT, 0860
;;Assist-Personal Activities;610889622699;;kate.walsh@julalikari.com.au;13 Maloney Street, TENNANT CREEK, NT, 0860
;;Assist-Travel/Transport;610889622699;;kate.walsh@julalikari.com.au;13 Maloney Street, TENNANT CREEK, NT, 0860
;;Development-Life Skills;610889622699;;kate.walsh@julalikari.com.au;13 Maloney Street, TENNANT CREEK, NT, 0860
;;Household Tasks;610889622699;;kate.walsh@julalikari.com.au;13 Maloney Street, TENNANT CREEK, NT, 0860
;;Participate Community;610889622699;;kate.walsh@julalikari.com.au;13 Maloney Street, TENNANT CREEK, NT, 0860
Kapser, Barbara;MILLNER;;610889856067;www.steppingstonestherapy.com.au;admin@steppingstonestherapy.com.au;11 Marsh Street, MILLNER, NT, 0810
Keep Moving Pty Ltd;WINNELLIE;Assist Prod-Pers Care/Safety;610889475122;www.keepmoving.net.au;cameron@keepmoving.net.au;15 Swan Crescent, WINNELLIE, NT, 0820
;;Assistive Equip-Recreation;610889475122;www.keepmoving.net.au;cameron@keepmoving.net.au;15 Swan Crescent, WINNELLIE, NT, 0820
;;Assistive Prod-Household Task;610889475122;www.keepmoving.net.au;cameron@keepmoving.net.au;15 Swan Crescent, WINNELLIE, NT, 0820
;;Equipment Special Assess Setup;610889475122;www.keepmoving.net.au;cameron@keepmoving.net.au;15 Swan Crescent, WINNELLIE, NT, 0820
;;Home Modification;610889475122;www.keepmoving.net.au;cameron@keepmoving.net.au;15 Swan Crescent, WINNELLIE, NT, 0820
;;Personal Mobility Equipment;610889475122;www.keepmoving.net.au;cameron@keepmoving.net.au;15 Swan Crescent, WINNELLIE, NT, 0820
;;Therapeutic Supports;610889475122;www.keepmoving.net.au;cameron@keepmoving.net.au;15 Swan Crescent, WINNELLIE, NT, 0820
;;Vehicle modifications;610889475122;www.keepmoving.net.au;cameron@keepmoving.net.au;15 Swan Crescent, WINNELLIE, NT, 0820
Life Without Barriers;DARWIN;Accommodation/Tenancy;610889302300;www.lwb.org.au;;State Office, 1/36 Mitchell Street, DARWIN, NT, 0800
;;Assist-Integrate School/Ed;610889302300;www.lwb.org.au;;State Office, 1/36 Mitchell Street, DARWIN, NT, 0800
;;Assist-Life Stage, Transition;610889302300;www.lwb.org.au;;State Office, 1/36 Mitchell Street, DARWIN, NT, 0800
;;Assist-Personal Activities;610889302300;www.lwb.org.au;;State Office, 1/36 Mitchell Street, DARWIN, NT, 0800
;;Assist-Travel/Transport;610889302300;www.lwb.org.au;;State Office, 1/36 Mitchell Street, DARWIN, NT, 0800
;;Daily Tasks/Shared Living;610889302300;www.lwb.org.au;;State Office, 1/36 Mitchell Street, DARWIN, NT, 0800
;;Development-Life Skills;610889302300;www.lwb.org.au;;State Office, 1/36 Mitchell Street, DARWIN, NT, 0800
;;Household Tasks;610889302300;www.lwb.org.au;;State Office, 1/36 Mitchell Street, DARWIN, NT, 0800
;;Participate Community;610889302300;www.lwb.org.au;;State Office, 1/36 Mitchell Street, DARWIN, NT, 0800
;;Therapeutic Supports;610889302300;www.lwb.org.au;;State Office, 1/36 Mitchell Street, DARWIN, NT, 0800
;;Training-Travel Independence;610889302300;www.lwb.org.au;;State Office, 1/36 Mitchell Street, DARWIN, NT, 0800
Lifestyle Solutions (Aust) Ltd;ISLINGTON;Accommodation/Tenancy;611800634748;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;33 Fern St, ISLINGTON, NSW, 2296
;;Assess-Skill, Ability, Needs;611800634748;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;33 Fern St, ISLINGTON, NSW, 2296
;;Assist Access/Maintain Employ;611800634748;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;33 Fern St, ISLINGTON, NSW, 2296
;;Assist-Integrate School/Ed;611800634748;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;33 Fern St, ISLINGTON, NSW, 2296
;;Assist-Life Stage, Transition;611800634748;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;33 Fern St, ISLINGTON, NSW, 2296
;;Assist-Personal Activities;611800634748;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;33 Fern St, ISLINGTON, NSW, 2296
;;Assist-Travel/Transport;611800634748;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;33 Fern St, ISLINGTON, NSW, 2296
;;Behaviour Support;611800634748;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;33 Fern St, ISLINGTON, NSW, 2296
;;Daily Tasks/Shared Living;611800634748;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;33 Fern St, ISLINGTON, NSW, 2296
;;Development-Life Skills;611800634748;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;33 Fern St, ISLINGTON, NSW, 2296
;;Household Tasks;611800634748;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;33 Fern St, ISLINGTON, NSW, 2296
;;Participate Community;611800634748;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;33 Fern St, ISLINGTON, NSW, 2296
;;Plan Management;611800634748;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;33 Fern St, ISLINGTON, NSW, 2296
;;Therapeutic Supports;611800634748;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;33 Fern St, ISLINGTON, NSW, 2296
;;Training-Travel Independence;611800634748;www.lifestylesolutions.org.au;info@lifestylesolutions.org.au;33 Fern St, ISLINGTON, NSW, 2296
N D Gook & R J Gook;DIAMOND CREEK;;611300287526;www.auslanservices.com;admin@auslanservices.com;142 Everleigh Dve, DIAMOND CREEK, VIC, 3089
Ngaanyatjarra Pitjantjatjara Yankunytjatjara Women's Council Aboriginal Corp;ALICE SPRINGS;;;;;3 Wilkinson St, ALICE SPRINGS, NT, 0870
Northern Territory Of Australia;DARWIN;Accommodation/Tenancy;610889992809;http://health.nt.gov.au/;DSExecutive.DOH@nt.gov.au;3rd Floor, Health House, 87 Mitchell Street, DARWIN, NT, 0800
;;Assess-Skill, Ability, Needs;610889992809;http://health.nt.gov.au/;DSExecutive.DOH@nt.gov.au;3rd Floor, Health House, 87 Mitchell Street, DARWIN, NT, 0800
;;Assist Prod-Pers Care/Safety;610889992809;http://health.nt.gov.au/;DSExecutive.DOH@nt.gov.au;3rd Floor, Health House, 87 Mitchell Street, DARWIN, NT, 0800
;;Assist-Integrate School/Ed;610889992809;http://health.nt.gov.au/;DSExecutive.DOH@nt.gov.au;3rd Floor, Health House, 87 Mitchell Street, DARWIN, NT, 0800
;;Assist-Life Stage, Transition;610889992809;http://health.nt.gov.au/;DSExecutive.DOH@nt.gov.au;3rd Floor, Health House, 87 Mitchell Street, DARWIN, NT, 0800
;;Development-Life Skills;610889992809;http://health.nt.gov.au/;DSExecutive.DOH@nt.gov.au;3rd Floor, Health House, 87 Mitchell Street, DARWIN, NT, 0800
;;Equipment Special Assess Setup;610889992809;http://health.nt.gov.au/;DSExecutive.DOH@nt.gov.au;3rd Floor, Health House, 87 Mitchell Street, DARWIN, NT, 0800
;;Home Modification;610889992809;http://health.nt.gov.au/;DSExecutive.DOH@nt.gov.au;3rd Floor, Health House, 87 Mitchell Street, DARWIN, NT, 0800
;;Physical Wellbeing;610889992809;http://health.nt.gov.au/;DSExecutive.DOH@nt.gov.au;3rd Floor, Health House, 87 Mitchell Street, DARWIN, NT, 0800
;;Therapeutic Supports;610889992809;http://health.nt.gov.au/;DSExecutive.DOH@nt.gov.au;3rd Floor, Health House, 87 Mitchell Street, DARWIN, NT, 0800
;;Training-Travel Independence;610889992809;http://health.nt.gov.au/;DSExecutive.DOH@nt.gov.au;3rd Floor, Health House, 87 Mitchell Street, DARWIN, NT, 0800
Sue Cameron;HENTY;Assess-Skill, Ability, Needs;;;;ADDRESS CONFIDENTIAL
;;Early Childhood Supports;;;;ADDRESS CONFIDENTIAL
;;Therapeutic Supports;;;;ADDRESS CONFIDENTIAL
T C & R J Knauth;WINNELLIE;Vehicle modifications;"+610417842744
0000 000000";www.vehiclesolutionsnt.com.au;tony@vehiclesolutionsnt.com.au;Cnr Menmuir and Tannadice Sts, WINNELLIE, NT, 0820
Video Service Centre Pty. Ltd.;WOOLNER;;;;;Unit 26, 16 Charlton Crt., WOOLNER, NT, 0820
Vision Australia Limited;COORPAROO;;610737272345;www.visionaustralia.org;info@visionaustralia.org;373 Old Cleveland Road, COORPAROO, QLD, 4151
Waltja Tjutangku Palyapayi Aboriginal Corporation;ALICE SPRINGS;Assist-Life Stage, Transition;610889534488;www.waltja.org.au;manager@waltja.org.au;3 Ghan Rd, ALICE SPRINGS, NT, 0871
;;Assist-Travel/Transport;610889534488;www.waltja.org.au;manager@waltja.org.au;3 Ghan Rd, ALICE SPRINGS, NT, 0871
;;Participate Community;610889534488;www.waltja.org.au;manager@waltja.org.au;3 Ghan Rd, ALICE SPRINGS, NT, 0871
Wesley Mission Brisbane;CHERMSIDE;Interpret/Translate;611800246945;www.nicss.org.au;bookings@nicss.org.au;ADDRESS CONFIDENTIAL
Whatley, Darrin William;TENNANT CREEK;Assess-Skill, Ability, Needs;610889621880;;dwhatley@bigpond.net.au;117 Paterson Street, TENNANT CREEK, NT, 0860
;;Assist Prod-Pers Care/Safety;610889621880;;dwhatley@bigpond.net.au;117 Paterson Street, TENNANT CREEK, NT, 0860
;;Assistive Equip-Recreation;610889621880;;dwhatley@bigpond.net.au;117 Paterson Street, TENNANT CREEK, NT, 0860
;;Home Modification;610889621880;;dwhatley@bigpond.net.au;117 Paterson Street, TENNANT CREEK, NT, 0860
;;Household Tasks;610889621880;;dwhatley@bigpond.net.au;117 Paterson Street, TENNANT CREEK, NT, 0860
;;Personal Mobility Equipment;610889621880;;dwhatley@bigpond.net.au;117 Paterson Street, TENNANT CREEK, NT, 0860
;;Vehicle modifications;610889621880;;dwhatley@bigpond.net.au;117 Paterson Street, TENNANT CREEK, NT, 0860
